"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",39,0,1500,1514,930,2296,19,0.66
"GET","gold-1",39,0,1500,1507,689,2544,19,0.66
"GET","gold-2",38,0,1600,1555,771,2274,19,0.64
"GET","gold-3",39,0,1500,1498,593,2220,19,0.66
"GET","gold-4",38,0,1600,1539,847,2651,19,0.64
"GET","gold-5",38,0,1500,1544,1026,2178,19,0.64
"GET","gold-6",39,0,1500,1478,649,2530,19,0.66
"GET","gold-7",38,0,1600,1549,766,2302,19,0.64
"GET","gold-8",38,0,1500,1535,639,2687,19,0.64
"None","Total",346,0,1500,1524,593,2687,19,5.82
