"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",14,0,1600,1574,1171,1812,19,0.48
"GET","gold-1",13,0,1600,1617,1319,2127,19,0.44
"GET","gold-2",17,0,1500,1456,703,2391,19,0.58
"GET","gold-3",20,0,1500,1352,426,1762,19,0.68
"GET","gold-4",16,0,1500,1495,918,1914,19,0.55
"GET","gold-5",22,0,1100,1275,610,2421,19,0.75
"GET","gold-6",17,0,1400,1430,786,2093,19,0.58
"GET","gold-7",22,0,1300,1308,558,2098,19,0.75
"GET","gold-8",15,0,1600,1574,1175,2272,19,0.51
"None","Total",156,0,1500,1433,426,2421,19,5.33
