"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",45,1200,1400,1500,1500,1800,2200,2700,2700,2700
"GET gold-1",49,1200,1300,1400,1600,1700,2000,2500,2500,2500
"GET gold-2",48,1200,1400,1500,1600,1700,2100,2500,2500,2500
"GET gold-3",49,1100,1300,1400,1600,1900,2000,2300,2300,2300
"GET gold-4",48,1100,1300,1500,1500,1800,2100,2300,2300,2300
"GET gold-5",49,1200,1300,1400,1400,1600,1800,2200,2200,2200
"GET gold-6",47,1200,1400,1700,1700,1800,1900,2200,2200,2200
"GET gold-7",50,1200,1300,1400,1500,1700,1800,2800,2800,2800
"GET gold-8",49,1100,1300,1400,1500,1700,2000,2500,2500,2500
"Total",434,1200,1300,1500,1500,1700,2000,2300,2500,2800
