"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",15,0,1800,1838,1217,2485,19,0.51
"GET","gold-1",12,0,1900,1945,748,2692,19,0.41
"GET","gold-2",13,0,1900,1831,1069,2560,19,0.45
"GET","gold-3",12,0,2200,2167,779,3146,19,0.41
"GET","gold-4",12,0,1900,2053,1255,3155,19,0.41
"GET","gold-5",14,0,1700,1883,572,3598,19,0.48
"GET","gold-6",10,0,2100,2190,1322,2675,19,0.34
"GET","gold-7",10,0,1800,2140,1494,3638,19,0.34
"GET","gold-8",15,0,1600,1863,636,3214,19,0.51
"None","Total",113,0,1900,1973,572,3638,19,3.87
