"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",47,0,1200,1266,427,2689,19,0.79
"GET","gold-1",48,0,1200,1240,408,2217,19,0.81
"GET","gold-2",43,0,1300,1326,565,2581,19,0.72
"GET","gold-3",47,0,1200,1257,542,2588,19,0.79
"GET","gold-4",48,0,1200,1217,434,2392,19,0.81
"GET","gold-5",48,0,1200,1238,357,2169,19,0.81
"GET","gold-6",47,0,1200,1258,252,3088,19,0.79
"GET","gold-7",45,0,1300,1314,574,2171,19,0.76
"GET","gold-8",45,0,1300,1316,499,3511,19,0.76
"GET","gold-9",44,0,1200,1313,824,3063,19,0.74
"None","Total",462,0,1200,1273,252,3511,19,7.77
