w1_num,w1_cpu,w1_mem,w2_num,w2_cpu,w2_mem,w3_num,w3_cpu,w3_mem,w4_num,w4_cpu,w4_mem,time,nr_query_cols,nr_query_conds,nr_data_cols,nr_data_rows,nr_users
1,5,4,0,3,3,0,1,2,0,1,2,38.472478782,2,1,25,1000000,1
2,5,4,0,3,3,0,1,2,0,1,2,40.014523405,2,1,25,1000000,1
3,5,4,0,3,3,0,1,2,0,1,2,39.120382206,2,1,25,1000000,1
1,6,4,0,3,3,0,1,2,0,1,2,39.606917187,2,1,25,1000000,1
2,6,4,0,3,3,0,1,2,0,1,2,41.443975543,2,1,25,1000000,1
3,6,4,0,3,3,0,1,2,0,1,2,39.500718652,2,1,25,1000000,1
0,5,4,1,3,3,0,1,2,0,1,2,40.83328543,2,1,25,1000000,1
1,5,4,1,3,3,0,1,2,0,1,2,39.236350543,2,1,25,1000000,1
2,5,4,1,3,3,0,1,2,0,1,2,37.767160101,2,1,25,1000000,1
3,5,4,1,3,3,0,1,2,0,1,2,39.63158913,2,1,25,1000000,1
0,6,4,1,3,3,0,1,2,0,1,2,38.21358447,2,1,25,1000000,1
1,6,4,1,3,3,0,1,2,0,1,2,40.243808608,2,1,25,1000000,1
2,6,4,1,3,3,0,1,2,0,1,2,39.023901291,2,1,25,1000000,1
3,6,4,1,3,3,0,1,2,0,1,2,41.256365603,2,1,25,1000000,1
0,5,4,2,3,3,0,1,2,0,1,2,36.569802552,2,1,25,1000000,1
1,5,4,2,3,3,0,1,2,0,1,2,38.821635912,2,1,25,1000000,1
2,5,4,2,3,3,0,1,2,0,1,2,38.228348764,2,1,25,1000000,1
3,5,4,2,3,3,0,1,2,0,1,2,39.923275071,2,1,25,1000000,1
0,6,4,2,3,3,0,1,2,0,1,2,40.880921352,2,1,25,1000000,1
1,6,4,2,3,3,0,1,2,0,1,2,38.398958963,2,1,25,1000000,1
2,6,4,2,3,3,0,1,2,0,1,2,41.589894156,2,1,25,1000000,1
3,6,4,2,3,3,0,1,2,0,1,2,39.24087634,2,1,25,1000000,1
0,5,4,3,3,3,0,1,2,0,1,2,39.406740057,2,1,25,1000000,1
