time,nr_query_cols,nr_query_conds,nr_data_rows,nr_data_cols,nr_users,tot_cpu,tot_mem
28.086231251,2,1,1000000,25,1,10,10
24.877803869,2,1,1000000,25,1,10,10
22.725701384,2,1,1000000,25,1,10,10
25.96697306,2,1,1000000,25,1,11,10
24.765060692,2,1,1000000,25,1,11,10
22.880856566,2,1,1000000,25,1,11,10
38.054794292,2,1,1000000,25,1,10,10
26.462083446,2,1,1000000,25,1,10,10
26.725613166,2,1,1000000,25,1,10,10
23.075780886,2,1,1000000,25,1,10,10
33.305370587,2,1,1000000,25,1,11,10
23.611426799,2,1,1000000,25,1,11,10
23.889766204,2,1,1000000,25,1,11,10
22.863876194,2,1,1000000,25,1,11,10
27.630131671,2,1,1000000,25,1,10,10
27.611241584,2,1,1000000,25,1,10,10
24.722456491,2,1,1000000,25,1,10,10
25.380733344,2,1,1000000,25,1,10,10
25.852103839,2,1,1000000,25,1,11,10
24.960225835,2,1,1000000,25,1,11,10
22.904103881,2,1,1000000,25,1,11,10
23.260588473,2,1,1000000,25,1,11,10
26.20793384,2,1,1000000,25,1,10,10
24.574075663,2,1,1000000,25,1,10,10
23.717806641,2,1,1000000,25,1,10,10
25.264614014,2,1,1000000,25,1,10,10
28.133706984,2,1,1000000,25,1,11,10
24.31558666,2,1,1000000,25,1,11,10
23.755220259,2,1,1000000,25,1,11,10
22.744812498,2,1,1000000,25,1,11,10
28.070577779,2,1,1000000,25,1,11,10
23.504585528,2,1,1000000,25,1,11,10
24.510718624,2,1,1000000,25,1,11,10
25.157031791,2,1,1000000,25,1,12,10
23.715847559,2,1,1000000,25,1,12,10
24.192604758,2,1,1000000,25,1,12,10
29.01776653,2,1,1000000,25,1,11,10
25.498464434,2,1,1000000,25,1,11,10
25.174807186,2,1,1000000,25,1,11,10
25.998582511,2,1,1000000,25,1,11,10
29.474346968,2,1,1000000,25,1,12,10
25.440136731,2,1,1000000,25,1,12,10
24.722699239,2,1,1000000,25,1,12,10
23.791215733,2,1,1000000,25,1,12,10
27.079751158,2,1,1000000,25,1,11,10
25.4560579,2,1,1000000,25,1,11,10
23.518908941,2,1,1000000,25,1,11,10
22.746571167,2,1,1000000,25,1,11,10
24.266261244,2,1,1000000,25,1,12,10
23.487208357,2,1,1000000,25,1,12,10
22.748605926,2,1,1000000,25,1,12,10
23.208653102,2,1,1000000,25,1,12,10
26.377567576,2,1,1000000,25,1,11,10
23.137603224,2,1,1000000,25,1,11,10
24.064451692,2,1,1000000,25,1,11,10
25.054737528,2,1,1000000,25,1,11,10
25.564327359,2,1,1000000,25,1,12,10
25.080411454,2,1,1000000,25,1,12,10
24.401615781,2,1,1000000,25,1,12,10
22.657496418,2,1,1000000,25,1,12,10
69.013808482,2,1,1000000,25,1,10,10
40.548878315,2,1,1000000,25,1,10,10
30.574549648,2,1,1000000,25,1,10,10
32.092031533,2,1,1000000,25,1,10,10
69.89954027,2,1,1000000,25,1,11,10
35.925412829,2,1,1000000,25,1,11,10
29.30454393,2,1,1000000,25,1,11,10
30.758328586,2,1,1000000,25,1,11,10
40.335074775,2,1,1000000,25,1,10,10
34.510598913,2,1,1000000,25,1,10,10
31.722497031,2,1,1000000,25,1,10,10
34.508326293,2,1,1000000,25,1,10,10
40.270023854,2,1,1000000,25,1,11,10
34.151692954,2,1,1000000,25,1,11,10
32.2133838,2,1,1000000,25,1,11,10
29.38224484,2,1,1000000,25,1,11,10
34.67847215,2,1,1000000,25,1,10,10
32.311435589,2,1,1000000,25,1,10,10
28.855540178,2,1,1000000,25,1,10,10
32.359621015,2,1,1000000,25,1,10,10
38.681647969,2,1,1000000,25,1,11,10
30.220261108,2,1,1000000,25,1,11,10
29.895979867,2,1,1000000,25,1,11,10
29.153868282,2,1,1000000,25,1,11,10
34.170830425,2,1,1000000,25,1,10,10
32.82978239,2,1,1000000,25,1,10,10
30.557842892,2,1,1000000,25,1,10,10
29.050312337,2,1,1000000,25,1,10,10
34.836836077,2,1,1000000,25,1,11,10
29.921986596,2,1,1000000,25,1,11,10
30.171964516,2,1,1000000,25,1,11,10
28.515961213,2,1,1000000,25,1,11,10
75.718684056,2,1,1000000,25,1,11,10
35.453656733,2,1,1000000,25,1,11,10
32.550008318,2,1,1000000,25,1,11,10
31.243728824,2,1,1000000,25,1,11,10
