model,score,mse_cpu,mse_mem,mae_cpu,mae_mem,r2_cpu,r2_mem,adjusted_r2_cpu,adjusted_r2_mem
KNeighborsRegressor,-0.708853905704392,0.9280868399730824,0.2064204496426365,0.829869361941244,0.4130414023850535,0.058011558429003074,0.10231110757647688,0.05700354511539041,0.10135049880983849
DecisionTreeRegressor,-0.7100136192997935,0.9371727425059845,0.20425917476373243,0.8337403245391733,0.4084341929150919,0.048789560229478335,0.11171013977326283,0.04777167853898012,0.11075958882598969
RandomForestRegressor,-0.6995721043377776,0.9067248541597001,0.19974034444696123,0.8207091587741074,0.40641531954009485,0.07969352056715107,0.13136179632732503,0.07870870892516824,0.1304322744400348
