"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",26,1200,1400,1400,1500,1700,2100,2200,2200,2200
"GET gold-1",25,980,1200,1400,1600,1700,1700,2200,2200,2200
"GET gold-2",21,1200,1400,1600,1600,1800,2100,2300,2300,2300
"GET gold-3",18,1300,1500,1700,1700,2100,2100,2100,2100,2100
"GET gold-4",25,1200,1400,1400,1400,1500,1800,2200,2200,2200
"GET gold-5",18,1200,1500,1600,1700,1800,2200,2200,2200,2200
"GET gold-6",18,1200,1300,1500,1500,1800,2000,2000,2000,2000
"GET gold-7",23,1100,1300,1400,1500,1600,2100,2200,2200,2200
"Total",174,1200,1400,1500,1600,1700,2100,2200,2200,2300
