config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	
0	800	2200	0	750	0	250	1	0	0.4	2476	0	0.4	2405	0	
1	800	2200	0	750	0	250	2	0.9479166666666666	0.63	1589	0	0.67	1518	0	



