"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",26,1800,2000,2500,2700,4000,5100,5800,5800,5800
"GET silver-1",19,2900,3300,3600,4100,5000,5800,5800,5800,5800
"Total",45,2300,2700,3000,3600,4300,5100,5800,5800,5800
