"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",2,15000,15000,15000,15000,15000,15000,15000,15000,15000
"GET silver-1",2,13000,13000,13000,13000,13000,13000,13000,13000,13000
"GET silver-2",2,12000,12000,12000,12000,12000,12000,12000,12000,12000
"Total",6,13000,13000,14000,14000,15000,15000,15000,15000,15000
