config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	
0	800	2200	0	750	1	250	1	0	0.44	2217	0	0.46	2163	0	0.44	2229	0	0.44	2197	0	0.46	2107	0	0.43	2299	0	0.49	2045	0	0.44	2178	0	
1	800	2200	0	750	1	250	2	0	0.56	1772	0	0.48	2077	0	0.53	1878	0	0.48	2067	0	0.53	1861	0	0.55	1782	0	0.6	1666	0	0.56	1775	0	



