"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",21,1300,1400,1500,1500,1600,1800,1900,1900,1900
"GET gold-1",16,1500,1600,1600,1600,1700,2600,2600,2600,2600
"GET gold-2",16,1300,1300,1500,1500,1800,2300,2300,2300,2300
"GET gold-3",22,1400,1400,1500,1500,1700,1700,2000,2000,2000
"GET gold-4",17,1300,1500,1500,1600,1800,1800,1800,1800,1800
"GET gold-5",18,1400,1500,1500,1700,2000,2200,2200,2200,2200
"GET gold-6",26,1200,1300,1400,1400,1600,1600,2000,2000,2000
"GET gold-7",25,1200,1400,1400,1400,1500,1600,1800,1800,1800
"Total",161,1300,1400,1500,1500,1700,1800,2000,2300,2600
