config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	
0	800	2200	0	750	1	250	1	0	0.51	1958	0	0.48	2049	0	0.48	2030	0	0.51	1940	0	0.53	1843	0	0.48	2055	0	0.48	2100	0	
1	800	2200	0	750	1	250	2	0.8697916666666666	0.59	1686	0	0.65	1480	0	0.64	1560	0	0.62	1553	0	0.64	1575	0	0.57	1680	0	0.65	1527	0	



