config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	800	2200	0	750	1	250	0	0	0.48	2103	0	0.49	2039	0	0.48	2055	0	0.48	2054	0	0.46	2112	0	0.48	2088	0	
1	800	2200	0	750	1	250	2	0.8697916666666666	0.66	1483	0	0.7	1450	0	0.7	1398	0	0.7	1396	0	0.78	1296	0	0.68	1480	0	
2	800	2200	0	750	1	250	1	0.8958333333333334	0.6	1627	0	0.62	1602	0	0.62	1589	0	0.59	1680	0	0.6	1656	0	0.59	1684	0	



