config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	
0	800	2200	0	750	2	250	0	0.84375	0.76	1307	0	0.76	1308	0	0.75	1343	0	0.76	1304	0	0.78	1292	0	0.78	1266	0	0.8	1249	0	
1	800	2200	0	750	2	250	1	0.8177083333333334	0.8	1209	0	0.79	1227	0	0.87	1113	0	0.82	1176	0	0.87	1143	0	0.89	1124	0	0.75	1274	0	



