name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.eventLog.enabled,spark.executor.memoryOverhead,spark.driver.port,spark.jars,spark.memory.storageFraction,spark.app.name,spark.cores.max,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.eventLog.dir,spark.executor.cores,spark.app.id,description
sql,1642161422681,23234499834,0,false,0,select * from input,23110764038,overwrite,"",123735796,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",spark-client-0.spark-client-headless.silver.svc.cluster.local,true,384M,45763,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,0.9,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10,driver,client,spark://silver-spark-master-svc.silver.svc.cluster.local:7077,3712M,./spark_data/1,5,app-20220114115624-0013,Run two different SQL queries over the dataset in two different formats
sql,1642161446561,523053720,0,false,0,select * from input,377684201,overwrite,"",145369519,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",spark-client-0.spark-client-headless.silver.svc.cluster.local,true,384M,45763,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,0.9,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10,driver,client,spark://silver-spark-master-svc.silver.svc.cluster.local:7077,3712M,./spark_data/1,5,app-20220114115624-0013,Run two different SQL queries over the dataset in two different formats
sql,1642161470934,23820403527,0,false,0,"select c0, c6 from input where c0 < -0.9",23636559185,overwrite,"",183844342,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",spark-client-0.spark-client-headless.silver.svc.cluster.local,true,384M,45763,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,0.9,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10,driver,client,spark://silver-spark-master-svc.silver.svc.cluster.local:7077,3712M,./spark_data/1,5,app-20220114115624-0013,Run two different SQL queries over the dataset in two different formats
sql,1642161496209,348617150,0,false,0,"select c0, c6 from input where c0 < -0.9",265874384,overwrite,"",82742766,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",spark-client-0.spark-client-headless.silver.svc.cluster.local,true,384M,45763,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,0.9,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10,driver,client,spark://silver-spark-master-svc.silver.svc.cluster.local:7077,3712M,./spark_data/1,5,app-20220114115624-0013,Run two different SQL queries over the dataset in two different formats
