"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",19,950,1200,1400,1400,1600,2000,2000,2000,2000
"GET gold-1",20,1200,1300,1500,1500,1600,1600,1600,1600,1600
"GET gold-2",27,1000,1200,1400,1400,1600,1700,1900,1900,1900
"GET gold-3",21,1100,1400,1400,1400,1600,1700,1900,1900,1900
"GET gold-4",23,940,1100,1200,1300,1600,1700,1900,1900,1900
"GET gold-5",26,970,1100,1300,1400,1500,1700,2100,2100,2100
"GET gold-6",21,1100,1200,1300,1500,1600,1600,1600,1600,1600
"GET gold-7",26,1100,1300,1300,1400,1500,1700,1800,1800,1800
"GET gold-8",26,1100,1200,1300,1400,1500,1500,1700,1700,1700
"Total",209,1100,1200,1400,1400,1600,1700,1900,1900,2100
