"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",53,1000,1300,1400,1500,1700,2000,2100,2300,2300
"GET gold-1",53,1100,1300,1300,1400,1700,1700,1900,1900,1900
"GET gold-2",50,1100,1300,1400,1500,1900,2100,2400,2400,2400
"GET gold-3",38,1100,1300,1400,1600,1900,2000,2200,2200,2200
"GET gold-4",55,1000,1100,1300,1300,1600,1800,2100,2100,2100
"GET gold-5",52,1100,1400,1500,1500,1600,1900,2000,2100,2100
"GET gold-6",53,1000,1200,1400,1500,1700,1800,1900,1900,1900
"GET gold-7",50,1000,1400,1500,1600,1900,1900,2100,2100,2100
"GET gold-8",50,1200,1300,1400,1500,1800,2000,2200,2200,2200
"Total",454,1100,1300,1400,1500,1700,1900,2100,2100,2400
