"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",45,0,1200,1312,722,2425,19,0.76
"GET","gold-1",45,0,1200,1313,771,2370,19,0.76
"GET","gold-2",44,0,1200,1329,683,2388,19,0.75
"GET","gold-3",44,0,1200,1351,659,2373,19,0.75
"GET","gold-4",45,0,1100,1315,731,2410,19,0.76
"GET","gold-5",45,0,1200,1323,689,2728,19,0.76
"GET","gold-6",44,0,1200,1323,792,2481,19,0.75
"GET","gold-7",46,0,1200,1292,691,2621,19,0.78
"GET","gold-8",45,0,1100,1317,626,2527,19,0.76
"GET","gold-9",45,0,1200,1315,711,2387,19,0.76
"None","Total",448,0,1200,1319,626,2728,19,7.60
