"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",18,0,1200,1226,647,2636,19,0.61
"GET","gold-1",27,0,1000,1085,298,2229,19,0.91
"GET","gold-2",17,0,1200,1233,716,2598,19,0.57
"GET","gold-3",27,0,1000,1051,294,2110,19,0.91
"GET","gold-4",26,0,980,1022,189,2725,19,0.88
"GET","gold-5",22,0,930,1115,389,2402,19,0.74
"GET","gold-6",25,0,1000,1086,293,2408,19,0.84
"GET","gold-7",24,0,950,1070,388,2698,19,0.81
"GET","gold-8",17,0,1100,1223,814,2184,19,0.57
"GET","gold-9",20,0,1100,1155,487,2781,19,0.67
"None","Total",223,0,1000,1114,189,2781,19,7.51
