"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",18,1200,1300,1400,1500,1600,2600,2600,2600,2600
"GET gold-1",27,1000,1200,1400,1400,1800,2200,2200,2200,2200
"GET gold-2",17,1200,1400,1400,1500,1700,2600,2600,2600,2600
"GET gold-3",27,1000,1200,1400,1500,1600,1900,2100,2100,2100
"GET gold-4",26,1000,1200,1300,1300,1700,1700,2700,2700,2700
"GET gold-5",22,1000,1200,1400,1400,1600,1900,2400,2400,2400
"GET gold-6",25,1000,1200,1400,1500,1500,1800,2400,2400,2400
"GET gold-7",24,1000,1000,1400,1400,1500,1600,2700,2700,2700
"GET gold-8",17,1100,1300,1400,1500,1700,2200,2200,2200,2200
"GET gold-9",20,1100,1300,1300,1300,1700,2800,2800,2800,2800
"Total",223,1000,1200,1400,1400,1600,1900,2600,2700,2800
