"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",45,1200,1300,1600,1700,1800,2300,2400,2400,2400
"GET gold-1",45,1200,1300,1500,1800,1900,2100,2400,2400,2400
"GET gold-2",44,1200,1600,1700,1700,2000,2300,2400,2400,2400
"GET gold-3",44,1200,1500,1700,1800,2100,2300,2400,2400,2400
"GET gold-4",45,1100,1400,1600,1800,2000,2200,2400,2400,2400
"GET gold-5",45,1200,1400,1600,1600,2000,2400,2700,2700,2700
"GET gold-6",44,1200,1400,1500,1600,1700,2400,2500,2500,2500
"GET gold-7",46,1200,1400,1600,1700,2100,2400,2600,2600,2600
"GET gold-8",45,1100,1500,1600,1700,2100,2400,2500,2500,2500
"GET gold-9",45,1200,1400,1600,1600,2100,2300,2400,2400,2400
"Total",448,1200,1400,1600,1700,2000,2300,2400,2500,2700
