config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	
0	800	2200	0	750	1	250	0	0.921875	0.57	1731	0	0.57	1703	0	0.57	1743	0	0.55	1768	0	0.57	1739	0	
1	800	2200	0	750	1	250	2	0.8697916666666666	0.76	1283	0	0.78	1286	0	0.78	1274	0	0.76	1297	0	0.79	1263	0	
2	800	2200	0	750	1	250	1	0.8958333333333334	0.69	1441	0	0.69	1430	0	0.72	1373	0	0.66	1505	0	0.72	1356	0	



