"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",19,1200,1300,1500,1700,2500,2600,2600,2600,2600
"GET gold-1",22,1200,1300,1400,1500,1800,2200,2500,2500,2500
"GET gold-2",15,1300,1300,2000,2100,2500,3100,3100,3100,3100
"GET gold-3",17,1200,1300,1300,1700,2500,3900,3900,3900,3900
"GET gold-4",23,1200,1200,1400,1500,2300,2400,2900,2900,2900
"GET gold-5",17,1200,1300,1400,2000,2500,2500,2500,2500,2500
"GET gold-6",21,1200,1200,1400,1400,2300,2400,2900,2900,2900
"GET gold-7",26,1000,1200,1300,1400,2100,2400,2600,2600,2600
"Total",160,1200,1300,1400,1500,2300,2500,2900,3100,3900
