"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",45,0,1300,1299,547,2176,19,0.75
"GET","gold-1",45,0,1300,1289,391,2214,19,0.75
"GET","gold-2",41,0,1500,1437,734,2269,19,0.69
"GET","gold-3",47,0,1200,1246,587,2419,19,0.79
"GET","gold-4",40,0,1400,1455,724,2372,19,0.67
"GET","gold-5",46,0,1300,1300,315,2436,19,0.77
"GET","gold-6",43,0,1300,1356,548,2433,19,0.72
"GET","gold-7",44,0,1300,1334,494,2412,19,0.74
"GET","gold-8",43,0,1300,1365,364,2608,19,0.72
"GET","gold-9",40,0,1400,1465,340,2540,19,0.67
"None","Total",434,0,1300,1351,315,2608,19,7.27
