"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",15,0,1600,1515,717,2201,19,0.51
"GET","gold-1",16,0,1400,1558,503,3220,19,0.54
"GET","gold-2",22,0,1300,1347,666,2396,19,0.75
"GET","gold-3",13,0,1700,1610,890,2547,19,0.44
"GET","gold-4",20,0,1200,1307,668,2212,19,0.68
"GET","gold-5",22,0,1200,1264,336,2351,19,0.75
"GET","gold-6",19,0,1000,1188,400,2493,19,0.65
"GET","gold-7",14,0,1500,1534,550,2330,19,0.48
"GET","gold-8",17,0,1400,1402,573,2543,19,0.58
"GET","gold-9",23,0,1000,1193,515,2110,19,0.78
"None","Total",181,0,1300,1367,336,3220,19,6.16
