"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",17,3500,3600,3800,4000,4400,4600,4600,4600,4600
"GET silver-1",16,3400,3500,3800,3800,5100,6100,6100,6100,6100
"GET silver-2",17,3500,4000,4000,4100,4300,4500,4500,4500,4500
"Total",50,3400,3700,3800,4000,4400,4600,6100,6100,6100
