"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",8,3400,3600,3600,3600,5900,5900,5900,5900,5900
"GET silver-1",7,3700,4000,4900,4900,5200,5200,5200,5200,5200
"GET silver-2",10,3100,3100,3600,3800,4400,4400,4400,4400,4400
"Total",25,3200,3600,3700,4000,4900,5200,5900,5900,5900
