"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",22,2700,2700,2700,2900,3400,3400,3600,3600,3600
"GET silver-1",23,2600,2700,2900,3000,3100,3200,3500,3500,3500
"Total",45,2700,2700,2700,3000,3200,3400,3600,3600,3600
