"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",9,2900,3000,3200,3600,3800,3800,3800,3800,3800
"GET silver-1",10,2900,3100,3100,3200,3300,3300,3300,3300,3300
"Total",19,2900,3100,3200,3200,3600,3800,3800,3800,3800
