"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",45,0,1200,1301,443,2462,19,0.76
"GET","gold-1",44,0,1200,1331,521,2992,19,0.74
"GET","gold-2",54,0,1100,1094,321,2288,19,0.91
"GET","gold-3",50,0,1100,1184,439,4476,19,0.84
"GET","gold-4",53,0,1000,1097,397,2703,19,0.90
"GET","gold-5",53,0,1100,1104,397,2199,19,0.90
"GET","gold-6",44,0,1300,1320,633,2815,19,0.74
"GET","gold-7",51,0,1100,1157,452,4757,19,0.86
"GET","gold-8",51,0,1100,1149,316,2701,19,0.86
"GET","gold-9",52,0,1000,1124,296,2775,19,0.88
"None","Total",497,0,1100,1180,296,4757,19,8.40
