"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",34,1700,1800,1900,2000,2100,2200,2600,2600,2600
"GET gold-1",34,1700,1800,1900,1900,2000,2100,2600,2600,2600
"GET gold-2",34,1700,1800,1900,1900,1900,2200,2200,2200,2200
"GET gold-3",33,1700,1900,1900,2000,2200,2400,2600,2600,2600
"GET gold-4",31,1700,1900,2000,2100,2300,3200,3300,3300,3300
"GET gold-5",34,1700,1800,1900,1900,2100,2200,2800,2800,2800
"GET gold-6",33,1700,1900,1900,2000,2200,2400,3100,3100,3100
"GET gold-7",34,1700,1800,1900,1900,2100,2200,3200,3200,3200
"GET gold-8",32,1700,1900,1900,1900,2200,3100,3500,3500,3500
"GET gold-9",35,1600,1900,1900,1900,2000,2100,2300,2300,2300
"Total",334,1700,1800,1900,1900,2100,2300,2800,3200,3500
