"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",18,0,1600,1664,590,3892,19,0.61
"GET","gold-1",14,0,1400,1458,611,2218,19,0.48
"GET","gold-2",18,0,1600,1554,661,2653,19,0.61
"GET","gold-3",12,0,1600,1730,881,2746,19,0.41
"GET","gold-4",12,0,1700,1691,1063,2530,19,0.41
"GET","gold-5",16,0,1600,1623,621,2567,19,0.54
"GET","gold-6",19,0,1500,1410,473,2511,19,0.65
"GET","gold-7",13,0,1700,1753,1042,2663,19,0.44
"GET","gold-8",15,0,1800,1665,586,2628,19,0.51
"GET","gold-9",17,0,1600,1606,524,2789,19,0.58
"None","Total",154,0,1600,1605,473,3892,19,5.24
