"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",8,6700,7500,7500,7500,7900,7900,7900,7900,7900
"GET silver-1",9,6000,6500,6800,9200,11000,11000,11000,11000,11000
"GET silver-2",8,7300,7900,8700,8700,9800,9800,9800,9800,9800
"Total",25,6600,7300,7500,7900,9200,9800,11000,11000,11000
