config #	worker1.replicaCount	worker1.resources.requests.cpu	worker1.resources.requests.memory	worker2.replicaCount	worker2.resources.requests.cpu	worker2.resources.requests.memory	worker3.replicaCount	worker3.resources.requests.cpu	worker3.resources.requests.memory	worker4.replicaCount	worker4.resources.requests.cpu	worker4.resources.requests.memory	SLAName	CompletionTime	Successfull	
23	3	6	4	2	3	3	0	1	2	0	1	2	silver	39.24087634	true	
24	0	5	4	3	3	3	0	1	2	0	1	2	silver	39.406740057	true	
25	1	5	4	3	3	3	0	1	2	0	1	2	silver	38.901170878	true	
26	2	5	4	3	3	3	0	1	2	0	1	2	silver	40.627142865	true	
27	3	5	4	3	3	3	0	1	2	0	1	2	silver	42.640000787	true	
28	0	6	4	3	3	3	0	1	2	0	1	2	silver	41.565046459	true	
29	1	6	4	3	3	3	0	1	2	0	1	2	silver	38.125489001	true	
30	2	6	4	3	3	3	0	1	2	0	1	2	silver	38.633003451	true	
31	3	6	4	3	3	3	0	1	2	0	1	2	silver	31.517500905	true	
32	0	5	4	0	4	3	0	1	2	0	1	2	silver	2.28293085	false	
33	1	5	4	0	4	3	0	1	2	0	1	2	silver	47.954021266	true	
34	2	5	4	0	4	3	0	1	2	0	1	2	silver	37.589417647	true	
35	3	5	4	0	4	3	0	1	2	0	1	2	silver	41.123705998	true	
36	0	6	4	0	4	3	0	1	2	0	1	2	silver	2.134926463	false	
37	1	6	4	0	4	3	0	1	2	0	1	2	silver	38.248901738	true	
38	2	6	4	0	4	3	0	1	2	0	1	2	silver	37.411167253	true	
39	3	6	4	0	4	3	0	1	2	0	1	2	silver	38.528136262	true	
40	0	5	4	1	4	3	0	1	2	0	1	2	silver	41.069059945	true	
41	1	5	4	1	4	3	0	1	2	0	1	2	silver	40.679282244	true	
42	2	5	4	1	4	3	0	1	2	0	1	2	silver	40.681845388	true	
43	3	5	4	1	4	3	0	1	2	0	1	2	silver	42.53569982	true	
44	0	6	4	1	4	3	0	1	2	0	1	2	silver	38.871013341	true	
45	1	6	4	1	4	3	0	1	2	0	1	2	silver	38.785200977	true	
46	2	6	4	1	4	3	0	1	2	0	1	2	silver	38.152538756	true	
47	3	6	4	1	4	3	0	1	2	0	1	2	silver	39.015351812	true	
48	0	5	4	2	4	3	0	1	2	0	1	2	silver	38.978505096	true	
49	1	5	4	2	4	3	0	1	2	0	1	2	silver	39.655611894	true	
50	2	5	4	2	4	3	0	1	2	0	1	2	silver	39.918609132	true	
51	3	5	4	2	4	3	0	1	2	0	1	2	silver	38.735319934	true	
52	0	6	4	2	4	3	0	1	2	0	1	2	silver	40.535280673	true	
53	1	6	4	2	4	3	0	1	2	0	1	2	silver	40.454131577	true	
54	2	6	4	2	4	3	0	1	2	0	1	2	silver	37.72953505	true	
55	3	6	4	2	4	3	0	1	2	0	1	2	silver	40.027771069	true	
56	0	5	4	3	4	3	0	1	2	0	1	2	silver	38.455135549	true	
57	1	5	4	3	4	3	0	1	2	0	1	2	silver	36.854500697	true	
58	2	5	4	3	4	3	0	1	2	0	1	2	silver	39.110547252	true	
59	3	5	4	3	4	3	0	1	2	0	1	2	silver	39.553644107	true	
60	0	6	4	3	4	3	0	1	2	0	1	2	silver	38.003908641	true	
61	1	6	4	3	4	3	0	1	2	0	1	2	silver	43.106379339	true	
62	2	6	4	3	4	3	0	1	2	0	1	2	silver	41.029491698	true	
63	3	6	4	3	4	3	0	1	2	0	1	2	silver	41.181595337	true	
64	0	5	4	0	3	3	1	1	2	0	1	2	silver	60.037659897	true	
65	1	5	4	0	3	3	1	1	2	0	1	2	silver	56.753852686	true	
66	2	5	4	0	3	3	1	1	2	0	1	2	silver	85.885962339	true	
67	3	5	4	0	3	3	1	1	2	0	1	2	silver	55.551842908	true	
68	0	6	4	0	3	3	1	1	2	0	1	2	silver	89.618900147	true	
69	1	6	4	0	3	3	1	1	2	0	1	2	silver	67.747332533	true	
70	2	6	4	0	3	3	1	1	2	0	1	2	silver	76.32568108	true	
71	3	6	4	0	3	3	1	1	2	0	1	2	silver	54.200657938	true	
72	0	5	4	1	3	3	1	1	2	0	1	2	silver	71.995337287	true	
73	1	5	4	1	3	3	1	1	2	0	1	2	silver	57.25413161	true	
74	2	5	4	1	3	3	1	1	2	0	1	2	silver	61.197484181	true	
75	3	5	4	1	3	3	1	1	2	0	1	2	silver	70.090325862	true	
76	0	6	4	1	3	3	1	1	2	0	1	2	silver	63.488206426	true	
77	1	6	4	1	3	3	1	1	2	0	1	2	silver	64.578759923	true	
78	2	6	4	1	3	3	1	1	2	0	1	2	silver	59.234171982	true	
79	3	6	4	1	3	3	1	1	2	0	1	2	silver	58.469582745	true	
80	0	5	4	2	3	3	1	1	2	0	1	2	silver	49.923529972	true	
81	1	5	4	2	3	3	1	1	2	0	1	2	silver	72.314009007	true	
82	2	5	4	2	3	3	1	1	2	0	1	2	silver	64.437661481	true	
83	3	5	4	2	3	3	1	1	2	0	1	2	silver	64.188768785	true	
84	0	6	4	2	3	3	1	1	2	0	1	2	silver	65.619324295	true	
85	1	6	4	2	3	3	1	1	2	0	1	2	silver	63.538345533	true	
86	2	6	4	2	3	3	1	1	2	0	1	2	silver	74.36371831700001	true	
87	3	6	4	2	3	3	1	1	2	0	1	2	silver	55.566890643	true	
88	0	5	4	3	3	3	1	1	2	0	1	2	silver	61.538348696	true	
89	1	5	4	3	3	3	1	1	2	0	1	2	silver	67.043035788	true	
90	2	5	4	3	3	3	1	1	2	0	1	2	silver	59.439482782	true	
91	3	5	4	3	3	3	1	1	2	0	1	2	silver	56.736302902	true	
92	0	6	4	3	3	3	1	1	2	0	1	2	silver	58.072697244	true	
93	1	6	4	3	3	3	1	1	2	0	1	2	silver	69.648975603	true	
94	2	6	4	3	3	3	1	1	2	0	1	2	silver	55.096342525	true	
95	3	6	4	3	3	3	1	1	2	0	1	2	silver	58.967208174	true	
96	0	5	4	0	4	3	1	1	2	0	1	2	silver	68.865505634	true	
97	1	5	4	0	4	3	1	1	2	0	1	2	silver	89.116799807	true	
98	2	5	4	0	4	3	1	1	2	0	1	2	silver	53.875001447	true	
99	3	5	4	0	4	3	1	1	2	0	1	2	silver	61.836791266	true	
100	0	6	4	0	4	3	1	1	2	0	1	2	silver	62.339400528	true	
101	1	6	4	0	4	3	1	1	2	0	1	2	silver	49.180664309	true	
102	2	6	4	0	4	3	1	1	2	0	1	2	silver	73.419519556	true	
103	3	6	4	0	4	3	1	1	2	0	1	2	silver	83.79755399	true	
104	0	5	4	1	4	3	1	1	2	0	1	2	silver	62.007309973	true	
