"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",18,3000,3700,4400,5400,6700,6800,6800,6800,6800
"GET silver-1",14,3800,5100,5300,5500,5700,7000,7000,7000,7000
"GET silver-2",15,3800,4700,5300,5500,5500,7200,7200,7200,7200
"Total",47,3600,4400,5300,5400,5900,6800,7200,7200,7200
