"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",58,0,1000,1024,439,1894,19,0.97
"GET","gold-1",57,0,1100,1028,443,1752,19,0.96
"GET","gold-2",59,0,1000,1012,380,1765,19,0.99
"GET","gold-3",58,0,1000,1011,491,1427,19,0.97
"GET","gold-4",48,0,1000,1011,414,1672,19,0.81
"GET","gold-5",59,0,990,997,379,1899,19,0.99
"GET","gold-6",60,0,990,992,450,1710,19,1.01
"GET","gold-7",57,0,1000,1026,524,1529,19,0.96
"GET","gold-8",57,0,1000,1024,537,1739,19,0.96
"None","Total",513,0,1000,1014,379,1899,19,8.62
