"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",4,6300,6300,8200,8200,8200,8200,8200,8200,8200
"GET silver-1",5,4600,4600,4600,7400,7400,7400,7400,7400,7400
"Total",9,5000,5900,6300,7400,8200,8200,8200,8200,8200
