config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	Tenant-9 Throughtput	Tenant-9 avg Latency	Tenant-9 #Failures	
0	800	2200	0	750	2	250	0	0.84375	0.61	1633	0	0.61	1642	0	0.66	1513	0	0.64	1566	0	0.64	1534	0	0.62	1609	0	0.66	1496	0	0.61	1618	0	0.61	1616	0	0.62	1582	0	
1	800	2200	0	750	2	250	2	0.7916666666666666	0.76	1301	0	0.74	1331	0	0.91	1094	0	0.84	1184	0	0.9	1097	0	0.9	1104	0	0.74	1320	0	0.86	1157	0	0.86	1149	0	0.88	1124	0	
2	800	2200	0	750	2	250	1	0.8177083333333334	0.79	1266	0	0.81	1240	0	0.72	1326	0	0.79	1257	0	0.81	1217	0	0.81	1238	0	0.79	1258	0	0.76	1314	0	0.76	1316	0	0.74	1313	0	



