"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",36,0,1500,1633,854,3340,19,0.61
"GET","gold-1",36,0,1500,1642,678,3406,19,0.61
"GET","gold-2",39,0,1500,1513,784,2332,19,0.66
"GET","gold-3",38,0,1500,1566,614,2977,19,0.64
"GET","gold-4",38,0,1500,1534,676,3103,19,0.64
"GET","gold-5",37,0,1600,1609,812,3118,19,0.62
"GET","gold-6",39,0,1500,1496,650,2386,19,0.66
"GET","gold-7",36,0,1500,1618,964,3245,19,0.61
"GET","gold-8",36,0,1500,1616,945,3258,19,0.61
"GET","gold-9",37,0,1500,1582,793,3351,19,0.62
"None","Total",372,0,1500,1579,614,3406,19,6.26
