"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",19,0,1400,1408,915,2252,19,0.64
"GET","gold-1",22,0,1400,1304,492,2140,19,0.75
"GET","gold-2",13,0,1500,1584,1071,2187,19,0.44
"GET","gold-3",25,0,1200,1151,492,1708,19,0.85
"GET","gold-4",14,0,1500,1542,1123,2140,19,0.47
"GET","gold-5",14,0,1500,1548,1269,2136,19,0.47
"GET","gold-6",17,0,1400,1455,774,2317,19,0.58
"GET","gold-7",17,0,1500,1459,467,2482,19,0.58
"GET","gold-8",20,0,1300,1338,345,2156,19,0.68
"GET","gold-9",16,0,1400,1487,1123,2216,19,0.54
"None","Total",177,0,1400,1402,345,2482,19,6.00
