,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
select * from csv,,20862493234,,,,,20672006158,,,237024395.2,,,,,,,,,,,,,
select * from csv,,20.86249323,,,,,20.67200616,,,0.237024395,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sql,1.61107E+12,20386451803,0,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",20165775794,overwrite,,220676009,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,19943076521,1,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",19917844631,overwrite,,25231890,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,2972090373,2,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",2881948043,overwrite,,90142330,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,19246682386,3,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",19173765592,overwrite,,72916794,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,17912148549,4,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",17900111238,overwrite,,12037311,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,2961537499,5,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",2839884532,overwrite,,121652967,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,15045142138,6,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",14930320440,overwrite,,114821698,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
