"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",9,2800,3000,3700,3900,4400,4400,4400,4400,4400
"Total",9,2800,3000,3700,3900,4400,4400,4400,4400,4400
