"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",36,0,1400,1627,643,3496,19,0.61
"GET","gold-1",42,0,1400,1417,448,2645,19,0.71
"GET","gold-2",37,0,1500,1573,573,2704,19,0.62
"GET","gold-3",41,0,1500,1412,691,2487,19,0.69
"GET","gold-4",35,0,1500,1685,960,3513,19,0.59
"GET","gold-5",39,0,1500,1512,699,3100,19,0.66
"GET","gold-6",35,0,1600,1679,1028,3538,19,0.59
"GET","gold-7",36,0,1500,1620,507,2706,19,0.61
"GET","gold-8",37,0,1600,1569,651,3436,19,0.62
"GET","gold-9",37,0,1500,1562,828,2791,19,0.62
"None","Total",375,0,1500,1560,448,3538,19,6.33
