"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",26,0,890,1089,398,2024,19,0.89
"GET","gold-1",27,0,960,959,351,1580,19,0.92
"GET","gold-2",28,0,910,1043,589,1981,19,0.96
"GET","gold-3",20,0,1000,1124,690,1904,19,0.68
"GET","gold-4",26,0,910,1009,490,1967,19,0.89
"GET","gold-5",19,0,1100,1122,479,2077,19,0.65
"GET","gold-6",24,0,1000,1135,337,2059,19,0.82
"GET","gold-7",21,0,1000,1157,553,2122,19,0.72
"GET","gold-8",22,0,950,1062,351,1647,19,0.75
"None","Total",213,0,990,1072,337,2122,19,7.28
