"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",26,1200,1300,1300,1400,1400,1500,1500,1500,1500
"Total",26,1200,1300,1300,1400,1400,1500,1500,1500,1500
