config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,5,1,7,2,-1.43767E+11,-1.43767E+11,silver,3.59417E+11,
1,4,2,5,8,-0.795,-0.795,silver,1.95169E+11,
2,5,2,7,6,-0.765,-0.765,silver,1.50163E+11,
3,6,2,7,8,-1,-0.765,silver,1.48339E+11,
4,4,1,7,6,-1.03038E+16,-0.765,silver,2.57595E+11,
5,6,2,5,6,-0.701,-0.701,silver,2.00922E+11,
6,4,2,5,6,-0.607,-0.607,silver,2.08347E+11,<-
7,5,2,5,6,-0.654,-0.607,silver,2.03551E+11,
8,4,1,5,6,-1.39871E+12,-0.607,silver,3.49677E+11,
9,4,2,7,6,-0.718,-0.607,silver,1.50269E+11,
