config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime (150),
0,12,1,7,5,-1.31E+21,-1.31E+21,silver,1.96E+16,
1,4,1,4,15,-1.65E+16,-1.31E+21,silver,2.48E+16,
2,8,1,5,10,-1.50E+21,-1.31E+21,silver,2.25E+16,
3,16,2,7,5,-0.59,-0.59,silver,1.05E+16,
4,16,1,3,5,-2.11E+16,-0.59,silver,3.16E+16,
5,12,1,5,5,-1.58E+21,-0.59,silver,2.37E+16,
6,16,1,7,10,-1.16E+21,-0.59,silver,17425780428,
7,4,1,7,5,-1.07E+21,-0.59,silver,1.60E+16,
8,16,1,7,5,-1.08E+21,-0.59,silver,1.63E+16,
9,16,2,6,5,-0.55,-0.55,silver,1.14E+16,
,,,,,,,,,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,12,1,2,10,-2911525531,-2911525531,silver,43672882965,
1,4,1,2,15,-2.91E+20,-2.91E+20,silver,4.36E+16,
3,8,2,2,15,-1.53E+16,-2.91E+20,silver,2.30E+16,
4,8,1,2,10,-2.85E+19,-2.91E+20,silver,4.28E+15,
5,4,1,2,10,-2.89E+21,-2.91E+20,silver,4.33E+16,
,,,,,,,,,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,12,1,6,10,-1.33E+21,-1.33E+21,silver,1.99E+16,
1,8,1,3,20,-2.12E+21,-1.33E+21,silver,3.18E+16,
2,8,2,6,20,-0.686,-0.686,silver,1.04E+15,
3,8,1,5,15,-1.39E+21,-0.686,silver,2.09E+16,
4,12,1,4,5,-1.60E+21,-0.686,silver,2.40E+16,
5,12,1,5,25,-1.35E+21,-0.686,silver,2.03E+16,
6,8,2,6,25,-0.798,-0.686,silver,1.15E+16,
7,4,1,6,30,-1.34E+21,-0.686,silver,2.00E+16,
8,4,2,6,20,-0.641,-0.641,silver,1.05E+16,
,,,,,,,,,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,5,1,6,4,-1.26E+21,-1.26E+21,silver,1.90E+16,
1,4,2,5,5,-0.821,-0.821,silver,1.26E+16,
2,5,2,5,5,-0.928,-0.821,silver,1.27E+16,
3,4,1,5,5,-1.56E+20,-0.821,silver,2.34E+15,
4,4,2,5,4,-0.607,-0.607,silver,12637023798,<-
5,4,2,6,4,-0.678,-0.607,silver,1.12E+16,
6,5,2,5,4,-0.714,-0.607,silver,1.24E+16,
7,5,2,6,4,-0.785,-0.607,silver,1.11E+16,
8,4,2,6,5,-0.892,-0.607,silver,1.08E+16,
9,5,1,6,4,-1.26E+21,-0.607,silver,1.90E+16,
,,,,,,,,,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,4,2,4,2,-0.316,-0.316,silver,1.45E+16,too high completion time
4,4,2,5,2,-0.5,-0.071,silver,1.33E+15,<-
