"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",4,7500,7500,8200,8200,8200,8200,8200,8200,8200
"GET silver-1",3,7900,7900,8600,8600,8600,8600,8600,8600,8600
"Total",7,7500,7900,8200,8200,8600,8600,8600,8600,8600
