config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	
0	800	2200	0	750	1	250	1	0.8958333333333334	0.57	1736	0	0.59	1689	0	0.57	1724	0	0.54	1811	0	0.55	1785	0	0.55	1786	0	0.54	1817	0	
1	800	2200	0	750	1	250	2	0.8697916666666666	0.58	1732	0	0.58	1729	0	0.63	1605	0	0.58	1701	0	0.66	1527	0	0.65	1540	0	0.59	1679	0	



