workload,namespace,nb_of_tenants,config,resource_size,completion_time
sql,silver,1,0_1_0_0,c6m 4Gi_c4m 2Gi_c3m 2Gi_c2m 2Gi,211
sql,silver,2,0_0_1_2,c6m 4Gi_c4m 2Gi_c3m 2Gi_c2m 2Gi,179
sql,silver,3,0_1_1_1,c6m 4Gi_c4m 2Gi_c3m 2Gi_c2m 2Gi,130
sql,silver,4,0_0_2_2,c6m 4Gi_c4m 2Gi_c3m 2Gi_c2m 2Gi,137
sql,silver,5,0_1_1_1,c6m 4Gi_c4m 2Gi_c3m 2Gi_c2m 2Gi,149
sql,silver,6,0_1_1_1,c6m 4Gi_c4m 2Gi_c3m 2Gi_c2m 2Gi,160
sql,silver,7,0_1_1_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,168
sql,silver,8,0_1_1_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,182
sql,silver,9,0_1_2_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,160
sql,silver,1,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,137
sql,silver,2,0_1_1_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,131
sql,silver,3,0_0_2_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,153
sql,silver,4,0_1_1_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,138
sql,silver,5,0_1_1_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,150
sql,silver,6,0_0_2_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,181
sql,silver,7,0_0_2_2,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,161
sql,silver,8,0_1_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,159
sql,silver,9,0_0_3_1,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,169
