"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",13,4400,4700,4700,4800,4900,4900,4900,4900,4900
"Total",13,4400,4700,4700,4800,4900,4900,4900,4900,4900
