"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",6,4400,4400,4400,4400,4600,4600,4600,4600,4600
"Total",6,4400,4400,4400,4400,4600,4600,4600,4600,4600
