config #	demoCPU	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	
0	800	2200	0	750	2	250	0	0.84375	0.81	1219	0	0.83	1216	0	0.78	1288	0	0.8	1242	0	0.81	1226	0	0.83	1195	0	0.8	1251	0	0.83	1206	0	
1	800	2200	0	750	2	250	1	0.8177083333333334	0.78	1291	0	0.83	1211	0	0.8	1256	0	0.76	1321	0	0.8	1247	0	0.83	1201	0	0.85	1182	0	0.76	1287	0	



